,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-07-22/2002-07-28,97,2002-07-22 00:00:00.000000000,2002-07-28 23:59:59.999999999,1303,27,0,589,11,0,125,3,0
2002-07-29/2002-08-04,98,2002-07-29 00:00:00.000000000,2002-08-04 23:59:59.999999999,1319,16,0,594,5,0,126,1,0
2002-08-05/2002-08-11,99,2002-08-05 00:00:00.000000000,2002-08-11 23:59:59.999999999,1336,17,0,600,6,0,127,1,0
2002-08-12/2002-08-18,100,2002-08-12 00:00:00.000000000,2002-08-18 23:59:59.999999999,1352,16,0,607,7,0,130,3,0
2002-08-19/2002-08-25,101,2002-08-19 00:00:00.000000000,2002-08-25 23:59:59.999999999,1373,21,0,614,7,0,133,3,0
2002-08-26/2002-09-01,102,2002-08-26 00:00:00.000000000,2002-09-01 23:59:59.999999999,1394,21,0,621,7,0,133,0,0
2002-09-02/2002-09-08,103,2002-09-02 00:00:00.000000000,2002-09-08 23:59:59.999999999,1405,11,0,625,4,0,134,1,0
2002-09-09/2002-09-15,104,2002-09-09 00:00:00.000000000,2002-09-15 23:59:59.999999999,1425,20,0,632,7,0,134,0,0
2002-09-16/2002-09-22,105,2002-09-16 00:00:00.000000000,2002-09-22 23:59:59.999999999,1446,21,0,638,6,0,137,3,0
2002-09-23/2002-09-29,106,2002-09-23 00:00:00.000000000,2002-09-29 23:59:59.999999999,1459,13,0,640,2,0,137,0,0
2002-09-30/2002-10-06,107,2002-09-30 00:00:00.000000000,2002-10-06 23:59:59.999999999,1478,19,0,649,9,0,137,0,0
2002-10-07/2002-10-13,108,2002-10-07 00:00:00.000000000,2002-10-13 23:59:59.999999999,1503,25,0,661,12,0,139,2,0
2002-10-14/2002-10-20,109,2002-10-14 00:00:00.000000000,2002-10-20 23:59:59.999999999,1527,24,0,669,8,0,141,2,0
2002-10-21/2002-10-27,110,2002-10-21 00:00:00.000000000,2002-10-27 23:59:59.999999999,1545,18,0,675,6,0,141,0,0
2002-10-28/2002-11-03,111,2002-10-28 00:00:00.000000000,2002-11-03 23:59:59.999999999,1568,23,0,685,10,0,143,2,0
2002-11-04/2002-11-10,112,2002-11-04 00:00:00.000000000,2002-11-10 23:59:59.999999999,1592,24,0,693,8,0,143,0,0
2002-11-11/2002-11-17,113,2002-11-11 00:00:00.000000000,2002-11-17 23:59:59.999999999,1607,15,0,699,6,0,143,0,0
2002-11-18/2002-11-24,114,2002-11-18 00:00:00.000000000,2002-11-24 23:59:59.999999999,1627,20,0,709,10,0,143,0,0
2002-11-25/2002-12-01,115,2002-11-25 00:00:00.000000000,2002-12-01 23:59:59.999999999,1649,22,0,718,9,0,148,5,0
2002-12-02/2002-12-08,116,2002-12-02 00:00:00.000000000,2002-12-08 23:59:59.999999999,1659,10,0,723,5,0,151,3,0
2002-12-09/2002-12-15,117,2002-12-09 00:00:00.000000000,2002-12-15 23:59:59.999999999,1676,17,0,734,11,0,153,2,0
2002-12-16/2002-12-22,118,2002-12-16 00:00:00.000000000,2002-12-22 23:59:59.999999999,1705,29,0,744,10,0,157,4,0
2002-12-23/2002-12-29,119,2002-12-23 00:00:00.000000000,2002-12-29 23:59:59.999999999,1709,4,0,746,2,0,157,0,0
2002-12-30/2003-01-05,120,2002-12-30 00:00:00.000000000,2003-01-05 23:59:59.999999999,1714,5,0,747,1,0,158,1,0
2003-01-06/2003-01-12,121,2003-01-06 00:00:00.000000000,2003-01-12 23:59:59.999999999,1737,23,0,757,10,0,159,1,0
2003-01-13/2003-01-19,122,2003-01-13 00:00:00.000000000,2003-01-19 23:59:59.999999999,1761,24,0,766,9,0,160,1,0
2003-01-20/2003-01-26,123,2003-01-20 00:00:00.000000000,2003-01-26 23:59:59.999999999,1784,23,0,772,6,0,162,2,0
2003-01-27/2003-02-02,124,2003-01-27 00:00:00.000000000,2003-02-02 23:59:59.999999999,1812,28,0,786,14,0,162,0,0
2003-02-03/2003-02-09,125,2003-02-03 00:00:00.000000000,2003-02-09 23:59:59.999999999,1842,30,0,800,14,0,163,1,0
2003-02-10/2003-02-16,126,2003-02-10 00:00:00.000000000,2003-02-16 23:59:59.999999999,1867,25,0,808,8,0,169,6,0
2003-02-17/2003-02-23,127,2003-02-17 00:00:00.000000000,2003-02-23 23:59:59.999999999,1899,32,0,823,15,0,173,4,0
2003-02-24/2003-03-02,128,2003-02-24 00:00:00.000000000,2003-03-02 23:59:59.999999999,1923,24,0,833,10,0,175,2,0
2003-03-03/2003-03-09,129,2003-03-03 00:00:00.000000000,2003-03-09 23:59:59.999999999,1955,32,0,850,17,0,179,4,0
2003-03-10/2003-03-16,130,2003-03-10 00:00:00.000000000,2003-03-16 23:59:59.999999999,1979,24,0,857,7,0,183,4,0
2003-03-17/2003-03-23,131,2003-03-17 00:00:00.000000000,2003-03-23 23:59:59.999999999,2016,37,0,870,13,0,187,4,0
2003-03-24/2003-03-30,132,2003-03-24 00:00:00.000000000,2003-03-30 23:59:59.999999999,2043,27,0,879,9,0,190,3,0
2003-03-31/2003-04-06,133,2003-03-31 00:00:00.000000000,2003-04-06 23:59:59.999999999,2081,38,0,896,17,0,192,2,0
2003-04-07/2003-04-13,134,2003-04-07 00:00:00.000000000,2003-04-13 23:59:59.999999999,2116,35,0,906,10,0,198,6,0
2003-04-14/2003-04-20,135,2003-04-14 00:00:00.000000000,2003-04-20 23:59:59.999999999,2147,31,0,913,7,0,199,1,0
2003-04-21/2003-04-27,136,2003-04-21 00:00:00.000000000,2003-04-27 23:59:59.999999999,2171,24,0,924,11,0,199,0,0
2003-04-28/2003-05-04,137,2003-04-28 00:00:00.000000000,2003-05-04 23:59:59.999999999,2196,25,0,934,10,0,202,3,0
2003-05-05/2003-05-11,138,2003-05-05 00:00:00.000000000,2003-05-11 23:59:59.999999999,2217,21,0,941,7,0,205,3,0
2003-05-12/2003-05-18,139,2003-05-12 00:00:00.000000000,2003-05-18 23:59:59.999999999,2235,18,0,946,5,0,205,0,0
2003-05-19/2003-05-25,140,2003-05-19 00:00:00.000000000,2003-05-25 23:59:59.999999999,2264,29,0,955,9,0,210,5,0
2003-05-26/2003-06-01,141,2003-05-26 00:00:00.000000000,2003-06-01 23:59:59.999999999,2280,16,0,964,9,0,212,2,0
2003-06-02/2003-06-08,142,2003-06-02 00:00:00.000000000,2003-06-08 23:59:59.999999999,2297,17,0,967,3,0,214,2,0
2003-06-09/2003-06-15,143,2003-06-09 00:00:00.000000000,2003-06-15 23:59:59.999999999,2315,18,0,970,3,0,216,2,0
2003-06-16/2003-06-22,144,2003-06-16 00:00:00.000000000,2003-06-22 23:59:59.999999999,2335,20,0,979,9,0,217,1,0
2003-06-23/2003-06-29,145,2003-06-23 00:00:00.000000000,2003-06-29 23:59:59.999999999,2361,26,0,988,9,0,220,3,0
2003-06-30/2003-07-06,146,2003-06-30 00:00:00.000000000,2003-07-06 23:59:59.999999999,2380,19,0,996,8,0,222,2,0
2003-07-07/2003-07-13,147,2003-07-07 00:00:00.000000000,2003-07-13 23:59:59.999999999,2405,25,0,1012,16,0,222,0,0
2003-07-14/2003-07-20,148,2003-07-14 00:00:00.000000000,2003-07-20 23:59:59.999999999,2429,24,0,1023,11,0,227,5,0
2003-07-21/2003-07-27,149,2003-07-21 00:00:00.000000000,2003-07-27 23:59:59.999999999,2449,20,0,1031,8,0,229,2,0
2003-07-28/2003-08-03,150,2003-07-28 00:00:00.000000000,2003-08-03 23:59:59.999999999,2469,20,0,1041,10,0,230,1,0
2003-08-04/2003-08-10,151,2003-08-04 00:00:00.000000000,2003-08-10 23:59:59.999999999,2493,24,0,1049,8,0,232,2,0
2003-08-11/2003-08-17,152,2003-08-11 00:00:00.000000000,2003-08-17 23:59:59.999999999,2516,23,0,1059,10,0,232,0,0
2003-08-18/2003-08-24,153,2003-08-18 00:00:00.000000000,2003-08-24 23:59:59.999999999,2547,31,0,1076,17,0,233,1,0
2003-08-25/2003-08-31,154,2003-08-25 00:00:00.000000000,2003-08-31 23:59:59.999999999,2569,22,0,1086,10,0,235,2,0
2003-09-01/2003-09-07,155,2003-09-01 00:00:00.000000000,2003-09-07 23:59:59.999999999,2584,15,0,1092,6,0,235,0,0
2003-09-08/2003-09-14,156,2003-09-08 00:00:00.000000000,2003-09-14 23:59:59.999999999,2606,22,0,1101,9,0,238,3,0
2003-09-15/2003-09-21,157,2003-09-15 00:00:00.000000000,2003-09-21 23:59:59.999999999,2620,14,0,1104,3,0,240,2,0
2003-09-22/2003-09-28,158,2003-09-22 00:00:00.000000000,2003-09-28 23:59:59.999999999,2645,25,0,1114,10,0,243,3,0
2003-09-29/2003-10-05,159,2003-09-29 00:00:00.000000000,2003-10-05 23:59:59.999999999,2665,20,0,1118,4,0,245,2,0
2003-10-06/2003-10-12,160,2003-10-06 00:00:00.000000000,2003-10-12 23:59:59.999999999,2687,22,0,1124,6,0,247,2,0
2003-10-13/2003-10-19,161,2003-10-13 00:00:00.000000000,2003-10-19 23:59:59.999999999,2717,30,0,1134,10,0,251,4,0
2003-10-20/2003-10-26,162,2003-10-20 00:00:00.000000000,2003-10-26 23:59:59.999999999,2749,32,0,1148,14,0,252,1,0
2003-10-27/2003-11-02,163,2003-10-27 00:00:00.000000000,2003-11-02 23:59:59.999999999,2768,19,0,1160,12,0,252,0,0
2003-11-03/2003-11-09,164,2003-11-03 00:00:00.000000000,2003-11-09 23:59:59.999999999,2793,25,0,1170,10,0,253,1,0
