,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2005-02-28/2005-03-06,119,2005-02-28 00:00:00.000000000,2005-03-06 23:59:59.999999999,153,2,0,88,2,0,0,0,0
2005-03-07/2005-03-13,120,2005-03-07 00:00:00.000000000,2005-03-13 23:59:59.999999999,155,2,0,89,1,0,0,0,0
2005-03-14/2005-03-20,121,2005-03-14 00:00:00.000000000,2005-03-20 23:59:59.999999999,156,6,5,90,4,3,0,0,0
2005-03-21/2005-03-27,122,2005-03-21 00:00:00.000000000,2005-03-27 23:59:59.999999999,160,5,1,94,4,0,0,0,0
2005-03-28/2005-04-03,123,2005-03-28 00:00:00.000000000,2005-04-03 23:59:59.999999999,161,2,1,95,1,0,0,0,0
2005-04-04/2005-04-10,124,2005-04-04 00:00:00.000000000,2005-04-10 23:59:59.999999999,162,1,0,95,0,0,0,0,0
2005-04-11/2005-04-17,125,2005-04-11 00:00:00.000000000,2005-04-17 23:59:59.999999999,163,3,2,96,2,1,0,0,0
2005-04-18/2005-04-24,126,2005-04-18 00:00:00.000000000,2005-04-24 23:59:59.999999999,163,2,2,95,1,2,0,0,0
2005-04-25/2005-05-01,127,2005-04-25 00:00:00.000000000,2005-05-01 23:59:59.999999999,166,4,1,98,4,1,0,0,0
2005-05-02/2005-05-08,128,2005-05-02 00:00:00.000000000,2005-05-08 23:59:59.999999999,168,3,1,98,1,1,0,0,0
2005-05-09/2005-05-15,129,2005-05-09 00:00:00.000000000,2005-05-15 23:59:59.999999999,168,0,0,98,0,0,0,0,0
2005-05-16/2005-05-22,130,2005-05-16 00:00:00.000000000,2005-05-22 23:59:59.999999999,169,3,2,98,2,2,0,0,0
2005-05-23/2005-05-29,131,2005-05-23 00:00:00.000000000,2005-05-29 23:59:59.999999999,172,4,1,100,3,1,0,0,0
2005-05-30/2005-06-05,132,2005-05-30 00:00:00.000000000,2005-06-05 23:59:59.999999999,173,1,0,101,1,0,0,0,0
2005-06-06/2005-06-12,133,2005-06-06 00:00:00.000000000,2005-06-12 23:59:59.999999999,177,4,0,102,1,0,0,0,0
2005-06-13/2005-06-19,134,2005-06-13 00:00:00.000000000,2005-06-19 23:59:59.999999999,178,3,2,102,1,1,0,0,0
2005-06-20/2005-06-26,135,2005-06-20 00:00:00.000000000,2005-06-26 23:59:59.999999999,180,3,1,103,1,0,0,0,0
2005-06-27/2005-07-03,136,2005-06-27 00:00:00.000000000,2005-07-03 23:59:59.999999999,178,5,7,102,1,2,0,0,0
2005-07-04/2005-07-10,137,2005-07-04 00:00:00.000000000,2005-07-10 23:59:59.999999999,169,7,16,101,4,5,0,0,0
2005-07-11/2005-07-17,138,2005-07-11 00:00:00.000000000,2005-07-17 23:59:59.999999999,170,4,3,99,1,3,0,0,0
2005-07-18/2005-07-24,139,2005-07-18 00:00:00.000000000,2005-07-24 23:59:59.999999999,167,0,3,98,0,1,0,0,0
2005-07-25/2005-07-31,140,2005-07-25 00:00:00.000000000,2005-07-31 23:59:59.999999999,164,4,7,95,2,5,0,0,0
2005-08-01/2005-08-07,141,2005-08-01 00:00:00.000000000,2005-08-07 23:59:59.999999999,151,5,18,83,1,13,0,0,0
2005-08-08/2005-08-14,142,2005-08-08 00:00:00.000000000,2005-08-14 23:59:59.999999999,147,1,5,79,1,5,0,0,0
2005-08-15/2005-08-21,143,2005-08-15 00:00:00.000000000,2005-08-21 23:59:59.999999999,149,6,4,82,4,1,0,0,0
2005-08-22/2005-08-28,144,2005-08-22 00:00:00.000000000,2005-08-28 23:59:59.999999999,152,5,2,83,3,2,0,0,0
2005-08-29/2005-09-04,145,2005-08-29 00:00:00.000000000,2005-09-04 23:59:59.999999999,147,1,6,81,1,3,0,0,0
2005-09-05/2005-09-11,146,2005-09-05 00:00:00.000000000,2005-09-11 23:59:59.999999999,149,3,1,82,2,1,0,0,0
2005-09-12/2005-09-18,147,2005-09-12 00:00:00.000000000,2005-09-18 23:59:59.999999999,155,6,0,87,5,0,0,0,0
2005-09-19/2005-09-25,148,2005-09-19 00:00:00.000000000,2005-09-25 23:59:59.999999999,157,8,6,89,5,3,0,0,0
2005-09-26/2005-10-02,149,2005-09-26 00:00:00.000000000,2005-10-02 23:59:59.999999999,158,2,1,90,2,1,0,0,0
2005-10-03/2005-10-09,150,2005-10-03 00:00:00.000000000,2005-10-09 23:59:59.999999999,159,3,2,92,3,1,0,0,0
2005-10-10/2005-10-16,151,2005-10-10 00:00:00.000000000,2005-10-16 23:59:59.999999999,156,3,6,88,1,5,0,0,0
2005-10-17/2005-10-23,152,2005-10-17 00:00:00.000000000,2005-10-23 23:59:59.999999999,157,2,1,88,1,1,0,0,0
2005-10-24/2005-10-30,153,2005-10-24 00:00:00.000000000,2005-10-30 23:59:59.999999999,157,2,2,88,1,1,0,0,0
2005-10-31/2005-11-06,154,2005-10-31 00:00:00.000000000,2005-11-06 23:59:59.999999999,158,4,3,88,2,2,0,0,0
2005-11-07/2005-11-13,155,2005-11-07 00:00:00.000000000,2005-11-13 23:59:59.999999999,162,4,0,90,2,0,0,0,0
2005-11-14/2005-11-20,156,2005-11-14 00:00:00.000000000,2005-11-20 23:59:59.999999999,161,3,4,91,2,1,0,0,0
2005-11-21/2005-11-27,157,2005-11-21 00:00:00.000000000,2005-11-27 23:59:59.999999999,161,0,0,91,0,0,0,0,0
2005-11-28/2005-12-04,158,2005-11-28 00:00:00.000000000,2005-12-04 23:59:59.999999999,161,0,0,91,0,0,0,0,0
2005-12-05/2005-12-11,159,2005-12-05 00:00:00.000000000,2005-12-11 23:59:59.999999999,162,1,0,91,0,0,0,0,0
2005-12-12/2005-12-18,160,2005-12-12 00:00:00.000000000,2005-12-18 23:59:59.999999999,164,3,1,92,1,0,0,0,0
2005-12-19/2005-12-25,161,2005-12-19 00:00:00.000000000,2005-12-25 23:59:59.999999999,161,2,5,93,1,0,0,0,0
2005-12-26/2006-01-01,162,2005-12-26 00:00:00.000000000,2006-01-01 23:59:59.999999999,161,2,2,93,2,2,0,0,0
2006-01-02/2006-01-08,163,2006-01-02 00:00:00.000000000,2006-01-08 23:59:59.999999999,156,1,6,91,0,2,0,0,0
2006-01-09/2006-01-15,164,2006-01-09 00:00:00.000000000,2006-01-15 23:59:59.999999999,158,4,2,93,3,1,0,0,0
2006-01-16/2006-01-22,165,2006-01-16 00:00:00.000000000,2006-01-22 23:59:59.999999999,141,0,17,85,0,8,0,0,0
2006-01-23/2006-01-29,166,2006-01-23 00:00:00.000000000,2006-01-29 23:59:59.999999999,144,5,2,89,5,1,0,0,0
2006-01-30/2006-02-05,167,2006-01-30 00:00:00.000000000,2006-02-05 23:59:59.999999999,142,5,7,89,3,3,0,0,0
2006-02-06/2006-02-12,168,2006-02-06 00:00:00.000000000,2006-02-12 23:59:59.999999999,141,4,5,87,2,4,0,0,0
2006-02-13/2006-02-19,169,2006-02-13 00:00:00.000000000,2006-02-19 23:59:59.999999999,139,1,3,84,0,3,0,0,0
2006-02-20/2006-02-26,170,2006-02-20 00:00:00.000000000,2006-02-26 23:59:59.999999999,133,3,9,80,2,6,0,0,0
2006-02-27/2006-03-05,171,2006-02-27 00:00:00.000000000,2006-03-05 23:59:59.999999999,128,11,16,77,9,12,0,0,0
2006-03-06/2006-03-12,172,2006-03-06 00:00:00.000000000,2006-03-12 23:59:59.999999999,129,1,0,78,1,0,0,0,0
2006-03-13/2006-03-19,173,2006-03-13 00:00:00.000000000,2006-03-19 23:59:59.999999999,133,5,1,79,1,0,0,0,0
2006-03-20/2006-03-26,174,2006-03-20 00:00:00.000000000,2006-03-26 23:59:59.999999999,132,2,3,79,1,1,0,0,0
2006-03-27/2006-04-02,175,2006-03-27 00:00:00.000000000,2006-04-02 23:59:59.999999999,130,0,2,78,0,1,0,0,0
2006-04-03/2006-04-09,176,2006-04-03 00:00:00.000000000,2006-04-09 23:59:59.999999999,130,1,1,78,1,1,0,0,0
2006-04-10/2006-04-16,177,2006-04-10 00:00:00.000000000,2006-04-16 23:59:59.999999999,128,2,4,76,1,3,0,0,0
2006-04-17/2006-04-23,178,2006-04-17 00:00:00.000000000,2006-04-23 23:59:59.999999999,114,0,14,71,0,5,0,0,0
2006-04-24/2006-04-30,179,2006-04-24 00:00:00.000000000,2006-04-30 23:59:59.999999999,114,1,1,70,0,1,0,0,0
2006-05-01/2006-05-07,180,2006-05-01 00:00:00.000000000,2006-05-07 23:59:59.999999999,116,3,1,71,2,1,0,0,0
2006-05-08/2006-05-14,181,2006-05-08 00:00:00.000000000,2006-05-14 23:59:59.999999999,116,2,2,71,1,1,0,0,0
2006-05-15/2006-05-21,182,2006-05-15 00:00:00.000000000,2006-05-21 23:59:59.999999999,117,2,1,72,2,1,0,0,0
2006-05-22/2006-05-28,183,2006-05-22 00:00:00.000000000,2006-05-28 23:59:59.999999999,120,4,1,74,2,0,0,0,0
2006-05-29/2006-06-04,184,2006-05-29 00:00:00.000000000,2006-06-04 23:59:59.999999999,125,5,0,78,4,0,0,0,0
2006-06-05/2006-06-11,185,2006-06-05 00:00:00.000000000,2006-06-11 23:59:59.999999999,127,3,1,80,2,0,0,0,0
2006-06-12/2006-06-18,186,2006-06-12 00:00:00.000000000,2006-06-18 23:59:59.999999999,129,2,0,81,1,0,0,0,0
2006-06-19/2006-06-25,187,2006-06-19 00:00:00.000000000,2006-06-25 23:59:59.999999999,132,4,1,83,2,0,0,0,0
2006-06-26/2006-07-02,188,2006-06-26 00:00:00.000000000,2006-07-02 23:59:59.999999999,134,4,2,84,2,1,0,0,0
2006-07-03/2006-07-09,189,2006-07-03 00:00:00.000000000,2006-07-09 23:59:59.999999999,134,1,1,84,1,1,0,0,0
2006-07-10/2006-07-16,190,2006-07-10 00:00:00.000000000,2006-07-16 23:59:59.999999999,129,2,7,82,2,4,0,0,0
2006-07-17/2006-07-23,191,2006-07-17 00:00:00.000000000,2006-07-23 23:59:59.999999999,137,12,4,86,6,2,0,0,0
2006-07-24/2006-07-30,192,2006-07-24 00:00:00.000000000,2006-07-30 23:59:59.999999999,140,8,5,89,6,3,0,0,0
2006-07-31/2006-08-06,193,2006-07-31 00:00:00.000000000,2006-08-06 23:59:59.999999999,137,5,8,86,5,8,0,0,0
2006-08-07/2006-08-13,194,2006-08-07 00:00:00.000000000,2006-08-13 23:59:59.999999999,135,1,3,85,1,2,0,0,0
2006-08-14/2006-08-20,195,2006-08-14 00:00:00.000000000,2006-08-20 23:59:59.999999999,133,1,3,83,0,2,0,0,0
2006-08-21/2006-08-27,196,2006-08-21 00:00:00.000000000,2006-08-27 23:59:59.999999999,131,0,2,81,0,2,0,0,0
2006-08-28/2006-09-03,197,2006-08-28 00:00:00.000000000,2006-09-03 23:59:59.999999999,130,3,4,81,1,1,0,0,0
2006-09-04/2006-09-10,198,2006-09-04 00:00:00.000000000,2006-09-10 23:59:59.999999999,129,1,2,81,1,1,0,0,0
2006-09-11/2006-09-17,199,2006-09-11 00:00:00.000000000,2006-09-17 23:59:59.999999999,131,2,0,82,1,0,0,0,0
2006-09-18/2006-09-24,200,2006-09-18 00:00:00.000000000,2006-09-24 23:59:59.999999999,134,4,1,83,1,0,0,0,0
